SimTime,X_true,Y_true,Heading_true,Vx_true,Vy_true,RotVel_true,X_est,Y_est,Heading_est,Vx_est,Vy_est,Ax_est,Ay_est,x_meas,y_meas,vx_meas,vy_meas,LateralError,HeadingError,CurrentSegment,DistanceToNext,LateralControl,HeadingControl,u_psi,P_trace,K_x_gain,K_xdot_gain,K_y_gain,K_ydot_gain,Q_std,R_pos_std,R_vel_std,P_xx,P_xy,P_yx,P_yy
0.039,0,0,0,0,0,0,0.117619,-0.279984,-5.14153,0.077348,-0.00695964,0.00339214,-6.79777e-05,0.14627,-0.349912,0.0780755,-0.00692012,0.117619,95.1415,0,3.28209,0.846855,85.6274,86.4742,0.683939,0.800003,0.990104,0.800003,0.990104,0.2,0.25,0.05,0.0500002,0,0,0.0500002
0.151,0,0,0,0,0,0,0.159843,-0.0990063,11.8116,0.0146197,0.00305732,-0.349445,0.052631,0.208007,0.127169,-0.00931681,0.00611898,0.159843,78.1884,0,3.10313,1.42231,56.7464,58.1687,0.418164,0.444533,0.726209,0.444533,0.726209,0.2,0.25,0.05,0.0277833,0,0,0.0277833
0.266,0.003,0,0,0.033,0,0,0.298099,-0.0371062,-24.733,0.0269906,-0.0124331,-0.089068,-0.0570726,0.599543,0.105007,0.0445187,-0.0205988,0.298099,114.733,0,3.0517,3.01191,131.86,100,0.21907,0.307906,0.73805,0.307906,0.73805,0.2,0.25,0.05,0.0192441,0,0,0.0192441
0.37,0.01,0,0.964288,0.0674904,0.00113597,12,0.279448,0.0193953,-12.1008,0.107512,-0.0230502,0.305436,-0.07947,0.180633,0.209675,0.151423,-0.0261195,0.279448,102.101,0,2.99368,1.88291,80.959,82.8419,0.156137,0.235618,0.673504,0.235618,0.673504,0.2,0.25,0.05,0.0147261,0,0,0.0147261
0.48,0.02,0,2.98053,0.0988661,0.00514766,22,0.241513,-0.0231105,35.0574,0.1006,0.0705909,0.141751,0.341628,0.042806,-0.241997,0.0792194,0.128031,0.241513,54.9426,0,3.03274,1.49059,10.8644,12.355,0.132475,0.190944,0.644583,0.190944,0.644583,0.2,0.25,0.05,0.011934,0,0,0.011934
0.587,0.033,0.001,6.92534,0.13203,0.0160366,33,0.245678,-0.0362418,16.0609,0.110465,0.0318025,0.120714,0.0377832,0.210322,-0.105703,0.107395,-0.0139743,0.245678,73.9391,0,3.04617,1.7969,82.5235,84.3204,0.125736,0.160607,0.620081,0.160607,0.620081,0.2,0.25,0.05,0.0100379,0,0,0.0100379
0.701,0.05,0.003,8.94158,0.161513,0.0254124,22,0.243672,-0.00323435,12.2288,0.209459,0.0453968,0.463916,0.0728,0.0797235,0.170711,0.261449,0.0500757,0.243672,77.7712,0,3.0131,1.74177,73.0194,74.7612,0.119591,0.138714,0.624739,0.138714,0.624739,0.2,0.25,0.05,0.00866965,0,0,0.00866965
0.81,0.069,0.006,11.9221,0.194218,0.0410065,34,0.19577,-0.0204324,0.274939,0.237133,0.00113791,0.378761,-0.135233,-0.312627,-0.134583,0.225413,-0.030981,0.19577,89.7251,0,3.02677,1.09312,90.6227,91.7158,0.118408,0.122148,0.61453,0.122148,0.61453,0.2,0.25,0.05,0.00763427,0,0,0.00763427
0.922,0.092,0.011,16.9189,0.220523,0.0670795,43,0.219515,0.00735611,0.314683,0.233155,0.00128056,0.192356,-0.0768691,0.226049,0.224523,0.204465,0.00960197,0.219515,89.6853,0,3.00068,1.73315,80.6848,82.418,0.116111,0.109214,0.61797,0.109214,0.61797,0.2,0.25,0.05,0.00682586,0,0,0.00682586
1.027,0.117,0.018,20.8637,0.247157,0.0942006,43,0.151069,0.010641,23.923,0.239117,0.106077,0.146585,0.384118,-0.69275,-0.0880071,0.234133,0.180118,0.151069,66.077,0,2.99317,0.618354,39.2336,39.8519,0.117713,0.0987986,0.605277,0.0987986,0.605277,0.2,0.25,0.05,0.00617491,0,0,0.00617491
1.139,0.144,0.029,24.8962,0.254434,0.118084,43,0.1353,0.0284204,36.5256,0.230446,0.170681,0.0508215,0.471537,-0.272277,0.0360933,0.216975,0.184006,0.1353,53.4744,0,2.97466,0.87279,37.9999,38.8727,0.114682,0.0902967,0.617368,0.0902967,0.617368,0.2,0.25,0.05,0.00564354,0,0,0.00564354
